scenario_id,ID,v_pen,S,depth,qb_fast,qs_fast,qb_ref,qs_ref,res_qb,res_qs,res_qb_norm,res_qs_norm,is_shallow
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.6,30.129462,25.056257,29.203037,17.719583,-0.926425,-7.336675,-0.0709169807551623,-0.25145483935211077,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.7,30.313253,25.013364,29.314837,17.790782,-0.998416,-7.222582,-0.07642782552030236,-0.2475444525643356,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.8,30.459305,25.036083,29.27078,17.792548,-1.188525,-7.243535,-0.09098049442969401,-0.24826258894749892,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,7.9,30.624572,25.099307,29.254832,17.666939,-1.369739,-7.432368,-0.10485225927905147,-0.25473459045763497,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.0,30.756472,25.136267,29.634123,17.577279,-1.122348,-7.558988,-0.08591470601138235,-0.25907432361451654,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.1,30.795859,25.103703,29.795666,17.670018,-1.000193,-7.433685,-0.07656385323415069,-0.2547797288920656,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.2,30.779346,25.186373,29.849027,17.636825,-0.930319,-7.549548,-0.07121506286980796,-0.25875078009057906,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.3,30.908063,25.225076,29.970619,17.501492,-0.937443,-7.723584,-0.07176039851046939,-0.26471563398167874,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.4,31.556622,25.426503,29.845697,17.186576,-1.710925,-8.239927,-0.1309697334360861,-0.2824126078990987,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.5,31.521059,25.316437,30.098892,17.323337,-1.422167,-7.9931,-0.10886557440659189,-0.273952938684807,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.6,31.513737,24.860419,29.738607,17.22307,-1.77513,-7.637349,-0.13588456707009336,-0.261760043326303,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.7,31.72063,24.6951,29.712891,16.881639,-2.007739,-7.813461,-0.15369057184811374,-0.26779604937372625,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.8,31.720237,24.685655,29.655859,16.801285,-2.064379,-7.88437,-0.15802631169750514,-0.270226361634201,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,8.9,32.285281,25.224276,29.550956,16.744536,-2.734325,-8.47974,-0.2093100611526666,-0.29063188153321057,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,10,9.0,31.743227,24.636412,30.105366,16.952373,-1.63786,-7.684039,-0.1253766749598188,-0.2633602813700149,0
G0_DENS_HIGH_V_HIGH,0.9,100.0,100,0.1,4.398415,37.88165,5.642311,7.01559,1.243896,-30.86606,0.09521909349750206,-1.0578934133967517,1
